City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,ternate,0.8,127.4,28.36,71,90,2.42,ID,1674026504
280,lompoc,34.6391,-120.4579,7.19,88,0,2.06,US,1674026505
281,high level,58.5169,-117.136,-5.94,100,100,3.09,CA,1674026505
282,osa,57.2829,55.4567,-13.03,89,100,2.33,RU,1674026487
283,skibbereen,51.55,-9.2667,3.9,75,96,8.98,IE,1674026505
284,caluquembe,-13.7833,14.6833,15.04,97,100,1.08,AO,1674026270
285,constantine,36.365,6.6147,10.67,66,75,9.77,DZ,1674026506
286,kabac,11.2353,123.6979,26.79,83,100,5.65,PH,1674026506
287,along,28.1667,94.7667,21.35,35,2,0.75,IN,1674026506
288,utete,-7.986,38.758,29.76,64,100,1.35,TZ,1674026506
289,do gonbadan,30.3586,50.7981,12.05,82,20,0.0,IR,1674026358
290,tilichiki,60.4667,166.1,-20.87,95,100,3.87,RU,1674026506
291,carnarvon,-24.8667,113.6333,29.2,59,6,9.67,AU,1674026506
292,longyearbyen,78.2186,15.6401,-11.09,62,0,4.63,SJ,1674026507
293,tirau,-37.9833,175.75,20.63,73,100,1.28,NZ,1674026507
294,riviere-au-renard,48.9957,-64.3971,2.16,98,100,2.55,CA,1674026507
295,ambilobe,-13.2,49.05,28.61,65,100,2.33,MG,1674026507
296,husavik,66.0449,-17.3389,-3.51,87,100,6.58,IS,1674026508
297,saint-joseph,-21.3667,55.6167,27.21,79,54,7.02,RE,1674026508
298,guilin,25.2819,110.2864,11.06,26,97,1.74,CN,1674026375
299,chulman,56.8479,124.9104,-38.57,99,99,1.05,RU,1674026508
300,mansoa,12.0733,-15.3189,20.11,23,95,2.68,GW,1674026509
301,minsk,53.9,27.5667,1.86,99,100,5.97,BY,1674025685
302,jadu,31.953,12.0261,9.57,25,0,7.95,LY,1674026509
303,trelew,-43.249,-65.3051,21.92,67,100,3.26,AR,1674026409
304,port augusta,-32.5,137.7667,23.83,56,88,10.21,AU,1674026509
305,samana,19.2056,-69.3369,21.86,65,49,2.6,DO,1674026509
306,saint george,37.1041,-113.5841,3.57,86,75,0.89,US,1674026510
307,mercedes,-34.6515,-59.4307,23.77,45,100,5.3,AR,1674026232
308,roros,62.5747,11.3842,-5.09,93,75,1.03,NO,1674026510
309,san patricio,28.017,-97.5169,22.13,90,100,6.84,US,1674026510
310,inuvik,68.3499,-133.7218,-17.52,85,100,0.51,CA,1674026510
311,weligama,5.9667,80.4167,29.16,62,100,2.75,LK,1674026511
312,cervo,43.6702,-7.4101,7.86,71,100,8.63,ES,1674026511
313,concepcion,-36.827,-73.0498,12.89,94,75,2.57,CL,1674026511
314,bombay,19.0144,72.8479,29.99,30,5,3.09,IN,1674026511
315,shimoda,34.6667,138.95,11.2,63,94,1.42,JP,1674026464
316,talnakh,69.4865,88.3972,-29.89,85,100,4.07,RU,1674026512
317,maceio,-9.6658,-35.7353,23.69,94,20,1.54,BR,1674026512
318,port hardy,50.6996,-127.4199,7.1,93,100,10.8,CA,1674026512
319,banda aceh,5.5577,95.3222,28.15,65,100,6.16,ID,1674026394
320,san ramon de la nueva oran,-23.1322,-64.326,29.12,56,88,0.88,AR,1674026513
